Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
638;FACULDADE MILTON CAMPOS;FMC
640;Faculdade Maria Thereza;FAMATH
641;UNIVERSIDADE LA SALLE;UNILASALLE
645;Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul;Católica em Jaraguá 
648;FACULDADES ASSOCIADAS DE UBERABA - FAZU;FAZU
649;CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA;UNIUV
652;Centro Universitário Santa Cecília;Unicea
657;FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA;FAFOPST
661;FACULDADE PIO DÉCIMO;FPD
663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO
664;UNIVERSIDADE VILA VELHA;UVV
665;UNIVERSIDADE DE TAUBATÉ;UNITAU
666;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;UEFS
667;FACULDADES INTEGRADAS DE JACAREPAGUÁ;FIJ
668;CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS;CIESA
669;UNIVERSIDADE NILTON LINS;UNINILTONLINS
670;UNIVERSIDADE SÃO FRANCISCO;USF
671;UNIVERSIDADE ANHANGUERA;UNIDERP
672;CENTRO UNIVERSITÁRIO FACENS;UniFACENS
673;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN
674;CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO;CESVASF
677;Faculdades Reunidas da ASCE;FRASCE
682;FACULDADE DO NOROESTE DE MINAS;FINOM
685;FACULDADE DO BELO JARDIM;FBJ
686;FACULDADE DE CIÊNCIAS APLICADAS DE LIMOEIRO;FACAL
688;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB
692;FACULDADE DE PETROLINA;FACAPE
693;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO
694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS
699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR
